Fragrance Name,Brand Name,Link
Dior Homme Intense 2011,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html
Sauvage,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html
Sauvage Elixir,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html
Imagination,Louis Vuitton,https://www.fragrantica.com/perfume/Louis-Vuitton/Imagination-67370.html
Side Effect,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html
Santal 33,Le Labo,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html
Gris Charnel,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-57038.html
Sauvage Eau de Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-de-Parfum-48100.html
Another 13,Le Labo,https://www.fragrantica.com/perfume/Le-Labo/Another-13-10131.html
Dior Homme Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html
Ombre Nomade,Louis Vuitton,https://www.fragrantica.com/perfume/Louis-Vuitton/Ombre-Nomade-49755.html
Pacific Chill,Louis Vuitton,https://www.fragrantica.com/perfume/Louis-Vuitton/Pacific-Chill-81423.html
Oud for Greatness,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html
Fahrenheit,Dior,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html
Gris Charnel Extrait,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html
Musk Therapy,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-66097.html
Dior Homme 2020,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-2020-58714.html
Narcotic Delight,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html
Absolute Aphrodisiac,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html
Afternoon Swim,Louis Vuitton,https://www.fragrantica.com/perfume/Louis-Vuitton/Afternoon-Swim-53947.html
Dior Homme Sport 2021,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Sport-2021-71326.html
The Noir 29,Le Labo,https://www.fragrantica.com/perfume/Le-Labo/The-Noir-29-31872.html
Dior Homme Cologne 2022,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2022-72062.html
Paragon,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Paragon-76580.html
L’Immensité,Louis Vuitton,https://www.fragrantica.com/perfume/Louis-Vuitton/L-Immensite-49751.html
Vanilla Diorama,Dior,https://www.fragrantica.com/perfume/Dior/Vanilla-Diorama-68198.html
Halfeti,Penhaligon s,https://www.fragrantica.com/perfume/Penhaligon-s/Halfeti-31396.html
Rehab,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Rehab-50351.html
Rouge Smoking,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Rouge-Smoking-51468.html
The Matcha 26,Le Labo,https://www.fragrantica.com/perfume/Le-Labo/The-Matcha-26-69731.html
Sauvage Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Parfum-56324.html
Psychedelic Love,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Psychedelic-Love-45977.html
Tobacolor,Dior,https://www.fragrantica.com/perfume/Dior/Tobacolor-65551.html
Atomic Rose,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-57587.html
Gris Dior,Dior,https://www.fragrantica.com/perfume/Dior/Gris-Dior-48387.html
Fahrenheit Le Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Fahrenheit-Le-Parfum-23099.html
The Blazing Mr Sam,Penhaligon s,https://www.fragrantica.com/perfume/Penhaligon-s/The-Blazing-Mr-Sam-50255.html
The Tragedy of Lord George,Penhaligon s,https://www.fragrantica.com/perfume/Penhaligon-s/The-Tragedy-of-Lord-George-40716.html
Velvet Tonka,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Velvet-Tonka-68119.html
The Omniscient Mr Thompson,Penhaligon s,https://www.fragrantica.com/perfume/Penhaligon-s/The-Omniscient-Mr-Thompson-84254.html
Blessed Baraka,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Blessed-Baraka-30991.html
Luna,Penhaligon s,https://www.fragrantica.com/perfume/Penhaligon-s/Luna-38351.html
