name,brand,accords,ratingValue,ratingCount,seasons,timeOfDay,gender,priceValue,notesBreakdown
Colonia C.L.U.B.,Acqua di Parma,"{'aromatic': 1.0, 'fresh spicy': 0.965519, 'citrus': 0.843104, 'woody': 0.607328, 'green': 0.570692, 'musky': 0.5375, 'powdery': 0.45689599999999997}",3.99,473,"{'winter': 0.168539, 'spring': 0.928839, 'summer': 1.0, 'fall': 0.453184}","{'day': 0.9400749999999999, 'night': 0.303371}","{'female': 2, 'more female': 1, 'unisex': 47, 'more male': 151, 'male': 140}","{'way overpriced': 17, 'overpriced': 104, 'ok': 134, 'good value': 43, 'great value': 5}","{'topnotes': ['Lemon', 'Pink Pepper', 'Bergamot', 'Black Pepper'], 'midnotes': ['Rosemary', 'Shiso'], 'bottomnotes': ['Musk', 'Cedar']}"
Oud Eau de Parfum,Acqua di Parma,"{'woody': 1.0, 'citrus': 0.7977580000000001, 'oud': 0.756932, 'leather': 0.66743, 'aromatic': 0.629902, 'powdery': 0.587819, 'fresh spicy': 0.5615950000000001, 'animalic': 0.513864, 'musky': 0.500989, 'balsamic': 0.465972}",4.29,"1,204","{'winter': 0.9782609999999999, 'spring': 0.6878879999999999, 'summer': 0.319876, 'fall': 1.0}","{'day': 0.697205, 'night': 0.930124}","{'female': 10, 'more female': 7, 'unisex': 146, 'more male': 314, 'male': 266}","{'way overpriced': 67, 'overpriced': 196, 'ok': 313, 'good value': 55, 'great value': 18}","{'topnotes': ['Calabrian bergamot', 'Orange'], 'midnotes': ['Agarwood (Oud)', 'Coriander', 'Amyris'], 'bottomnotes': ['Cedar', 'Leather', 'Musk', 'Sandalwood', 'Patchouli']}"
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria,Acqua di Parma,"{'citrus': 1.0, 'woody': 0.517132, 'aromatic': 0.505458, 'fresh spicy': 0.493735, 'warm spicy': 0.45297699999999996}",4.12,"2,325","{'winter': 0.049538200000000004, 'spring': 0.476071, 'summer': 1.0, 'fall': 0.0923594}","{'day': 0.864819, 'night': 0.09907640000000001}","{'female': 23, 'more female': 57, 'unisex': 552, 'more male': 189, 'male': 38}","{'way overpriced': 85, 'overpriced': 239, 'ok': 332, 'good value': 77, 'great value': 12}","{'topnotes': ['Citron', 'Bergamot'], 'midnotes': ['Flowers', 'Cedar', 'Ginger'], 'bottomnotes': ['Musk', 'Benzoin', 'Vetyver']}"
Essenza di Colonia,Acqua di Parma,"{'citrus': 1.0, 'aromatic': 0.6354460000000001, 'white floral': 0.623621, 'fresh spicy': 0.586506, 'woody': 0.4843, 'green': 0.462036}",4.34,"3,667","{'winter': 0.16622399999999998, 'spring': 0.912905, 'summer': 1.0, 'fall': 0.433882}","{'day': 0.949549, 'night': 0.3829}","{'female': 22, 'more female': 5, 'unisex': 235, 'more male': 539, 'male': 693}","{'way overpriced': 77, 'overpriced': 260, 'ok': 674, 'good value': 282, 'great value': 52}","{'topnotes': ['Sage', 'Jasmine', 'Mandarin Orange', 'Lily-of-the-Valley', 'Rose', 'Rosemary', 'Bergamot', 'Musk', 'Grapefruit', 'Amber', 'Neroli', 'Petitgrain', 'Vetyver', 'Orange', 'Cloves', 'Oakmoss', 'Patchouli'], 'midnotes': [], 'bottomnotes': []}"
Acqua di parma Blue Mediterraneo - Mirto di Panarea,Acqua di Parma,"{'aromatic': 1.0, 'fresh spicy': 0.792981, 'citrus': 0.68238, 'herbal': 0.567801, 'woody': 0.5005109999999999, 'marine': 0.469579}",4.10,"2,809","{'winter': 0.0561634, 'spring': 0.643326, 'summer': 1.0, 'fall': 0.146608}","{'day': 0.872356, 'night': 0.137126}","{'female': 33, 'more female': 80, 'unisex': 654, 'more male': 223, 'male': 63}","{'way overpriced': 62, 'overpriced': 215, 'ok': 433, 'good value': 143, 'great value': 22}","{'topnotes': ['Myrtle', 'Lemon', 'Basil', 'Bergamot'], 'midnotes': ['Jasmine', 'Rose', 'Sea Notes'], 'bottomnotes': ['Mastic or Lentisque', 'Cedar', 'Juniper', 'Amber']}"
Colonia Club,Acqua di Parma,"{'aromatic': 1.0, 'citrus': 0.850718, 'green': 0.8385720000000001, 'fresh spicy': 0.800969, 'lavender': 0.510871}",4.03,"1,333","{'winter': 0.1376, 'spring': 1.0, 'summer': 0.9792000000000001, 'fall': 0.46880000000000005}","{'day': 0.9952, 'night': 0.2544}","{'female': 6, 'more female': 1, 'unisex': 54, 'more male': 174, 'male': 296}","{'way overpriced': 33, 'overpriced': 97, 'ok': 248, 'good value': 86, 'great value': 15}","{'topnotes': ['Lemon', 'Mandarin Orange', 'Mint', 'Bergamot', 'Neroli', 'Petitgrain'], 'midnotes': ['Lavender', 'Geranium', 'Galbanum'], 'bottomnotes': ['Haitian Vetiver', 'Musk', 'Ambergris']}"
Oud & Spice,Acqua di Parma,"{'warm spicy': 1.0, 'oud': 0.800411, 'rose': 0.684602, 'sweet': 0.5872350000000001, 'fruity': 0.57165, 'amber': 0.520182, 'soft spicy': 0.510174, 'cinnamon': 0.503023, 'patchouli': 0.500162, 'woody': 0.498733}",3.91,578,"{'winter': 1.0, 'spring': 0.388693, 'summer': 0.134276, 'fall': 0.890459}","{'day': 0.427562, 'night': 0.904594}","{'female': 3, 'more female': 3, 'unisex': 82, 'more male': 130, 'male': 136}","{'way overpriced': 50, 'overpriced': 113, 'ok': 106, 'good value': 20, 'great value': 5}","{'topnotes': ['Raspberry', 'Rose', 'Bergamot'], 'midnotes': ['Pink Pepper', 'Cloves', 'Cinnamon'], 'bottomnotes': ['Labdanum', 'Agarwood (Oud)', 'Patchouli']}"
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia,Acqua di Parma,"{'vanilla': 1.0, 'almond': 0.976623, 'sweet': 0.943612, 'powdery': 0.8964310000000001, 'fruity': 0.788022, 'soft spicy': 0.7334529999999999, 'nutty': 0.7059739999999999, 'anis': 0.704848, 'floral': 0.646436, 'citrus': 0.581707}",4.11,"4,369","{'winter': 0.458986, 'spring': 0.772699, 'summer': 0.800877, 'fall': 0.745147}","{'day': 1.0, 'night': 0.388228}","{'female': 251, 'more female': 296, 'unisex': 552, 'more male': 59, 'male': 38}","{'way overpriced': 52, 'overpriced': 250, 'ok': 504, 'good value': 149, 'great value': 30}","{'topnotes': ['Star Anise', 'Green Almond', 'Bergamot', 'Orange'], 'midnotes': ['Jasmine', 'Ylang-Ylang', 'White Peach'], 'bottomnotes': ['Cedar', 'Tolu Balsam', 'White Musk', 'Bourbon Vanilla']}"
Acqua di Parma Blu Mediterraneo - Fico di Amalfi,Acqua di Parma,"{'citrus': 1.0, 'woody': 0.7458589999999999, 'fruity': 0.601379, 'sweet': 0.5130440000000001, 'fresh spicy': 0.450426, 'aromatic': 0.449685}",4.32,"6,903","{'winter': 0.0467091, 'spring': 0.637739, 'summer': 1.0, 'fall': 0.13747299999999998}","{'day': 0.861465, 'night': 0.14357699999999998}","{'female': 134, 'more female': 303, 'unisex': 1910, 'more male': 465, 'male': 137}","{'way overpriced': 153, 'overpriced': 563, 'ok': 1310, 'good value': 471, 'great value': 73}","{'topnotes': ['Lemon', 'Citron', 'Grapefruit', 'Bergamot'], 'midnotes': ['Jasmine', 'Fig Nectar', 'Pink Pepper'], 'bottomnotes': ['Benzoin', 'Cedar', 'Fig Tree']}"
Acqua di Parma Colonia,Acqua di Parma,"{'citrus': 1.0, 'aromatic': 0.852596, 'fresh spicy': 0.7198399999999999, 'woody': 0.661916, 'lavender': 0.6283610000000001, 'fresh': 0.561562}",4.15,"3,471","{'winter': 0.131227, 'spring': 0.808019, 'summer': 1.0, 'fall': 0.299514}","{'day': 0.970231, 'night': 0.207169}","{'female': 8, 'more female': 15, 'unisex': 457, 'more male': 463, 'male': 300}","{'way overpriced': 79, 'overpriced': 287, 'ok': 514, 'good value': 140, 'great value': 23}","{'topnotes': ['Jasmine', 'Sicilian Citruses', 'Rosemary', 'Bulgarian Rose', 'Lemon Verbena', 'Lavender', 'Patchouli', 'White Musk', 'Amber', 'Sandalwood', 'Vetiver'], 'midnotes': [], 'bottomnotes': []}"
