name,brand,accords,ratingValue,ratingCount,seasons,timeOfDay,gender,priceValue,notesBreakdown
Side Effect,Initio Parfums Prives,"{'warm spicy': 1.0, 'tobacco': 0.8980859999999999, 'rum': 0.889253, 'cinnamon': 0.774129, 'sweet': 0.651182, 'woody': 0.649562}",4.35,"6,661","{'winter': 1.0, 'spring': 0.299391, 'summer': 0.110404, 'fall': 0.898174}","{'day': 0.32318800000000003, 'night': 0.9045380000000001}","{'female': 152, 'more female': 204, 'unisex': 1873, 'more male': 1237, 'male': 459}","{'way overpriced': 625, 'overpriced': 1354, 'ok': 1162, 'good value': 232, 'great value': 99}","{'topnotes': ['Rum', 'Tobacco', 'Hedione', 'Saffron', 'Sandalwood', 'Cinnamon'], 'midnotes': [], 'bottomnotes': []}"
Sauvage Elixir,Dior,"{'warm spicy': 1.0, 'fresh spicy': 0.813088, 'woody': 0.7863120000000001, 'aromatic': 0.7752849999999999, 'lavender': 0.755518, 'soft spicy': 0.680918, 'cinnamon': 0.6189800000000001, 'amber': 0.543789, 'powdery': 0.504062, 'balsamic': 0.484098}",4.32,"13,680","{'winter': 1.0, 'spring': 0.523587, 'summer': 0.22007100000000002, 'fall': 0.888184}","{'day': 0.48587, 'night': 0.908433}","{'female': 85, 'more female': 21, 'unisex': 314, 'more male': 1219, 'male': 9362}","{'way overpriced': 1827, 'overpriced': 4290, 'ok': 3350, 'good value': 797, 'great value': 282}","{'topnotes': ['Grapefruit', 'Cinnamon', 'Nutmeg', 'Cardamom'], 'midnotes': ['Lavender'], 'bottomnotes': ['Patchouli', 'Amber', 'Haitian Vetiver', 'Licorice', 'Sandalwood']}"
Santal 33,Le Labo,"{'woody': 1.0, 'powdery': 0.649747, 'leather': 0.5966830000000001, 'warm spicy': 0.548444, 'violet': 0.47668900000000003}",3.78,"9,575","{'winter': 0.726142, 'spring': 0.7709050000000001, 'summer': 0.48710000000000003, 'fall': 1.0}","{'day': 0.9166930000000001, 'night': 0.655891}","{'female': 157, 'more female': 253, 'unisex': 3065, 'more male': 876, 'male': 276}","{'way overpriced': 1113, 'overpriced': 1602, 'ok': 1041, 'good value': 161, 'great value': 68}","{'topnotes': ['Virginia Cedar', 'Papyrus', 'Cardamom', 'Iris', 'Amber', 'Leather', 'Sandalwood', 'Violet'], 'midnotes': [], 'bottomnotes': []}"
Sauvage,Dior,"{'fresh spicy': 1.0, 'amber': 0.721262, 'citrus': 0.6972450000000001, 'aromatic': 0.632943, 'musky': 0.581117, 'woody': 0.536829, 'lavender': 0.459701, 'herbal': 0.457654, 'warm spicy': 0.451486}",3.87,"26,427","{'winter': 0.653056, 'spring': 1.0, 'summer': 0.9184220000000001, 'fall': 0.9222899999999999}","{'day': 0.995444, 'night': 0.891172}","{'female': 113, 'more female': 30, 'unisex': 445, 'more male': 2043, 'male': 10088}","{'way overpriced': 883, 'overpriced': 3254, 'ok': 5756, 'good value': 1532, 'great value': 314}","{'topnotes': ['Pepper', 'Calabrian bergamot'], 'midnotes': ['Patchouli', 'elemi', 'Geranium', 'Lavender', 'Sichuan Pepper', 'Vetiver', 'Pink Pepper'], 'bottomnotes': ['Labdanum', 'Ambroxan', 'Cedar']}"
Dior Homme Parfum,Dior,"{'iris': 1.0, 'woody': 0.943999, 'leather': 0.928309, 'powdery': 0.923844, 'violet': 0.649997, 'floral': 0.617218, 'animalic': 0.6141570000000001, 'earthy': 0.5799989999999999, 'rose': 0.5408959999999999, 'oud': 0.53848}",4.55,"8,850","{'winter': 1.0, 'spring': 0.289569, 'summer': 0.104913, 'fall': 0.854611}","{'day': 0.347563, 'night': 0.905155}","{'female': 75, 'more female': 37, 'unisex': 644, 'more male': 1389, 'male': 2110}","{'way overpriced': 249, 'overpriced': 831, 'ok': 1969, 'good value': 604, 'great value': 257}","{'topnotes': ['Tuscan Iris', 'Italian Orange'], 'midnotes': ['Rose', 'Leather'], 'bottomnotes': ['Agarwood (Oud)', 'Sandalwood', 'Cedar', 'Ambrette (Musk Mallow)']}"
Musk Therapy,Initio Parfums Prives,"{'citrus': 1.0, 'musky': 0.873433, 'floral': 0.8544029999999999, 'powdery': 0.735502, 'fruity': 0.710886, 'woody': 0.667944, 'green': 0.49906799999999996, 'fresh spicy': 0.49884999999999996, 'aromatic': 0.49067700000000003}",4.16,"3,939","{'winter': 0.395009, 'spring': 1.0, 'summer': 0.946439, 'fall': 0.65003}","{'day': 0.978698, 'night': 0.375533}","{'female': 653, 'more female': 596, 'unisex': 925, 'more male': 65, 'male': 36}","{'way overpriced': 548, 'overpriced': 758, 'ok': 553, 'good value': 68, 'great value': 37}","{'topnotes': ['White Musk', 'Bergamot', 'Musk', 'Mandarin Orange', 'Black Currant', 'White Sandalwood', 'Hedione', 'Magnolia'], 'midnotes': [], 'bottomnotes': []}"
Another 13,Le Labo,"{'musky': 1.0, 'amber': 0.811921, 'woody': 0.654576, 'animalic': 0.511421, 'fruity': 0.462584, 'floral': 0.44892699999999996, 'powdery': 0.448669}",4.04,"5,585","{'winter': 0.6945709999999999, 'spring': 0.948757, 'summer': 0.827499, 'fall': 0.889396}","{'day': 1.0, 'night': 0.6093350000000001}","{'female': 177, 'more female': 418, 'unisex': 2134, 'more male': 194, 'male': 68}","{'way overpriced': 662, 'overpriced': 1145, 'ok': 693, 'good value': 114, 'great value': 47}","{'topnotes': ['Apple', 'Pear', 'Citruses'], 'midnotes': ['Jasmine', 'Moss', 'Amyl Salicylate', 'Ambrette (Musk Mallow)'], 'bottomnotes': ['Cetalox', 'Ambrettolide', 'Iso E Super', 'Helvetolide']}"
Dior Homme 2020,Dior,"{'woody': 1.0, 'musky': 0.7299120000000001, 'aromatic': 0.540416, 'amber': 0.525366, 'citrus': 0.468002}",4.16,"7,166","{'winter': 0.729863, 'spring': 1.0, 'summer': 0.823103, 'fall': 0.995338}","{'day': 0.977726, 'night': 0.786066}","{'female': 46, 'more female': 7, 'unisex': 223, 'more male': 957, 'male': 3060}","{'way overpriced': 187, 'overpriced': 765, 'ok': 2343, 'good value': 606, 'great value': 95}","{'topnotes': ['Bergamot', 'elemi', 'Pink Pepper'], 'midnotes': ['Atlas Cedar', 'Cashmere Wood', 'Patchouli'], 'bottomnotes': ['Haitian Vetiver', 'White Musk', 'Iso E Super']}"
Gris Charnel Extrait,BDK Parfums,"{'woody': 1.0, 'warm spicy': 0.778696, 'vanilla': 0.672861, 'powdery': 0.655537, 'aromatic': 0.6208899999999999, 'sweet': 0.539154, 'earthy': 0.49851100000000004, 'iris': 0.48431399999999997, 'fruity': 0.48340299999999997, 'balsamic': 0.44966700000000004}",4.38,"2,375","{'winter': 1.0, 'spring': 0.5310779999999999, 'summer': 0.17702600000000002, 'fall': 0.989772}","{'day': 0.574351, 'night': 0.914241}","{'female': 43, 'more female': 62, 'unisex': 706, 'more male': 541, 'male': 144}","{'way overpriced': 150, 'overpriced': 472, 'ok': 567, 'good value': 72, 'great value': 36}","{'topnotes': ['Fig', 'Cardamom', 'Black Tea'], 'midnotes': ['Bourbon Vetiver', 'Iris', 'Cistus Incanus'], 'bottomnotes': ['Tonka Bean', 'Cedar', 'Sandalwood', 'Indonesian Patchouli Leaf', 'Madagascar Vanilla']}"
Imagination,Louis Vuitton,"{'citrus': 1.0, 'fresh': 0.515846, 'fresh spicy': 0.5070859999999999, 'green': 0.501426, 'amber': 0.500091, 'warm spicy': 0.490214}",4.56,"4,636","{'winter': 0.17177900000000002, 'spring': 0.838231, 'summer': 1.0, 'fall': 0.39683599999999997}","{'day': 0.8837579999999999, 'night': 0.35227600000000003}","{'female': 65, 'more female': 44, 'unisex': 1177, 'more male': 1343, 'male': 606}","{'way overpriced': 1246, 'overpriced': 1105, 'ok': 509, 'good value': 117, 'great value': 133}","{'topnotes': ['Calabrian bergamot', 'Citron', 'Sicilian Orange'], 'midnotes': ['Nigerian Ginger', 'Ceylon Cinnamon', 'Tunisian Neroli'], 'bottomnotes': ['Olibanum', 'Chinese Black Tea', 'Ambroxan', 'Guaiac Wood']}"
Ombre Nomade,Louis Vuitton,"{'amber': 1.0, 'oud': 0.851434, 'warm spicy': 0.791846, 'rose': 0.736799, 'smoky': 0.729161, 'fruity': 0.58949, 'woody': 0.568034, 'leather': 0.561751, 'balsamic': 0.514967, 'sweet': 0.502643}",4.31,"3,876","{'winter': 1.0, 'spring': 0.27533, 'summer': 0.139648, 'fall': 0.807489}","{'day': 0.29515399999999997, 'night': 0.889427}","{'female': 51, 'more female': 40, 'unisex': 666, 'more male': 856, 'male': 1260}","{'way overpriced': 1025, 'overpriced': 841, 'ok': 566, 'good value': 141, 'great value': 119}","{'topnotes': ['Incense', 'Geranium', 'Saffron', 'Birch', 'Rose', 'Amberwood', 'Agarwood (Oud)', 'Benzoin', 'Raspberry'], 'midnotes': [], 'bottomnotes': []}"
Sauvage Eau de Parfum,Dior,"{'fresh spicy': 1.0, 'citrus': 0.8188920000000001, 'amber': 0.73797, 'lavender': 0.566302, 'musky': 0.562784, 'aromatic': 0.510344, 'herbal': 0.508812, 'anis': 0.49406999999999995, 'soft spicy': 0.49286, 'floral': 0.483373}",4.20,"10,748","{'winter': 0.914402, 'spring': 0.983233, 'summer': 0.80533, 'fall': 1.0}","{'day': 0.93258, 'night': 0.985175}","{'female': 38, 'more female': 12, 'unisex': 177, 'more male': 991, 'male': 5306}","{'way overpriced': 364, 'overpriced': 1716, 'ok': 3192, 'good value': 739, 'great value': 139}","{'topnotes': ['Bergamot'], 'midnotes': ['Sichuan Pepper', 'Lavender', 'Nutmeg', 'Star Anise'], 'bottomnotes': ['Vanilla', 'Ambroxan']}"
