name,brand,ratingValue,ratingCount,gender_score,priceValue_score,timeOfDay_score,season_score,Woody & Earthy,Smoky & Leathery,Resinous & Balsamic,Citrus & Fresh,Green & Herbal,Warm & Spicy,Sweet & Gourmand,Floral,Powdery & Soft,Synthetic,Uncommon,notesBreakdown
Colonia C.L.U.B.,Acqua di Parma,3.99,473.0,1.24927,-0.28053,0.6367,0.15932,0.16011,0.0,0.0,0.53614,1.3007,0.0,0.0,0.0,0.96895,0.0,0.0,"{'topnotes': ['Lemon', 'Pink Pepper', 'Bergamot', 'Black Pepper'], 'midnotes': ['Rosemary', 'Shiso'], 'bottomnotes': ['Musk', 'Cedar']}"
Oud Eau de Parfum,Acqua di Parma,4.29,1204.0,1.10229,-0.36826,-0.23292,0.27535,0.26363,2.19366,0.81536,0.5073,0.30632,0.0,0.0,0.0,1.02472,0.0,0.0,"{'topnotes': ['Calabrian bergamot', 'Orange'], 'midnotes': ['Agarwood (Oud)', 'Coriander', 'Amyris'], 'bottomnotes': ['Cedar', 'Leather', 'Musk', 'Sandalwood', 'Patchouli']}"
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria,Acqua di Parma,4.12,2325.0,0.18859,-0.41342,0.76574,0.1492,0.13633,0.0,0.0,0.63591,0.2458,0.27633,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Citron', 'Bergamot'], 'midnotes': ['Flowers', 'Cedar', 'Ginger'], 'bottomnotes': ['Musk', 'Benzoin', 'Vetyver']}"
Essenza di Colonia,Acqua di Parma,4.34,3667.0,1.25569,-0.02082,0.56665,0.16145,0.12768,0.0,0.0,0.63591,0.96836,0.0,0.0,1.05888,0.0,0.0,0.0,"{'topnotes': ['Sage', 'Jasmine', 'Mandarin Orange', 'Lily-of-the-Valley', 'Rose', 'Rosemary', 'Bergamot', 'Musk', 'Grapefruit', 'Amber', 'Neroli', 'Petitgrain', 'Vetyver', 'Orange', 'Cloves', 'Oakmoss', 'Patchouli'], 'midnotes': [], 'bottomnotes': []}"
Acqua di parma Blue Mediterraneo - Mirto di Panarea,Acqua di Parma,4.1,2809.0,0.19278,-0.17371,0.73523,0.16495,0.13195,0.0,0.0,1.92674,1.78249,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Myrtle', 'Lemon', 'Basil', 'Bergamot'], 'midnotes': ['Jasmine', 'Rose', 'Sea Notes'], 'bottomnotes': ['Mastic or Lentisque', 'Cedar', 'Juniper', 'Amber']}"
Colonia Club,Acqua di Parma,4.03,1333.0,1.41808,-0.09812,0.7408,0.15594,0.0,0.0,0.0,0.54098,2.67522,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Mandarin Orange', 'Mint', 'Bergamot', 'Neroli', 'Petitgrain'], 'midnotes': ['Lavender', 'Geranium', 'Galbanum'], 'bottomnotes': ['Haitian Vetiver', 'Musk', 'Ambergris']}"
Oud & Spice,Acqua di Parma,3.91,578.0,1.11017,-0.62245,-0.47703,0.3104,1.08377,0.0,0.39756,0.0,0.0,3.15177,0.56484,1.25384,0.0,0.0,0.0,"{'topnotes': ['Raspberry', 'Rose', 'Bergamot'], 'midnotes': ['Pink Pepper', 'Cloves', 'Cinnamon'], 'bottomnotes': ['Labdanum', 'Agarwood (Oud)', 'Patchouli']}"
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia,Acqua di Parma,4.11,4369.0,-0.55435,-0.14721,0.61177,0.1702,0.0,0.0,1.25167,0.36991,0.0,1.6269,6.68608,0.95959,0.67301,0.0,0.0,"{'topnotes': ['Star Anise', 'Green Almond', 'Bergamot', 'Orange'], 'midnotes': ['Jasmine', 'Ylang-Ylang', 'White Peach'], 'bottomnotes': ['Cedar', 'Tolu Balsam', 'White Musk', 'Bourbon Vanilla']}"
Acqua di Parma Blu Mediterraneo - Fico di Amalfi,Acqua di Parma,4.32,6903.0,0.05697,-0.09805,0.71789,0.16293,0.19663,0.0,0.0,0.63591,0.21868,0.0,0.49348,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Citron', 'Grapefruit', 'Bergamot'], 'midnotes': ['Jasmine', 'Fig Nectar', 'Pink Pepper'], 'bottomnotes': ['Benzoin', 'Cedar', 'Fig Tree']}"
Acqua di Parma Colonia,Acqua di Parma,4.15,3471.0,0.83025,-0.24832,0.76306,0.17218,0.1745,0.0,0.0,1.56961,1.63506,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Jasmine', 'Sicilian Citruses', 'Rosemary', 'Bulgarian Rose', 'Lemon Verbena', 'Lavender', 'Patchouli', 'White Musk', 'Amber', 'Sandalwood', 'Vetiver'], 'midnotes': [], 'bottomnotes': []}"
Leather Eau de Parfum,Acqua di Parma,4.07,664.0,1.36186,-0.47472,-0.37092,0.29704,0.23882,4.41964,0.0,0.42509,0.25825,0.0,0.54517,1.0403,0.0,0.0,0.0,"{'topnotes': ['Raspberry', 'Brazilian Orange', 'Sicilian Lemon'], 'midnotes': ['Rose', 'Red Thyme', 'Honeysuckle', 'Petitgrain'], 'bottomnotes': ['Leather', 'Guaiac Wood', 'Cedar']}"
Acqua di Parma Blu Mediterraneo Arancia di Capri,Acqua di Parma,4.15,3234.0,0.04502,-0.32371,0.76211,0.14734,0.0,0.0,0.0,0.63591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Bergamot', 'Sicilian Mandarin', 'Orange'], 'midnotes': ['Cardamom', 'Petitgrain'], 'bottomnotes': ['Caramel', 'Musk']}"
Colonia Oud,Acqua di Parma,4.2,1002.0,1.24068,-0.31679,-0.22439,0.25742,0.26363,2.56878,0.8521,0.58044,0.36569,0.0,0.0,0.0,0.93587,0.0,0.0,"{'topnotes': ['Italian Orange', 'Calabrian bergamot'], 'midnotes': ['Agarwood (Oud)', 'Coriander', 'Amyris'], 'bottomnotes': ['Indonesian Patchouli Leaf', 'Leather', 'Musk', 'Atlas Cedar', 'Sandalwood']}"
Sandalo Eau de Parfum,Acqua di Parma,3.97,545.0,1.18421,-0.58755,0.08051,0.23513,0.2138,0.0,1.08774,0.63591,1.75782,0.48061,0.46356,0.0,0.43938,0.0,0.0,"{'topnotes': ['Lemon', 'Orange', 'Petitgrain', 'Calabrian bergamot'], 'midnotes': ['Lavender', 'Cardamom'], 'bottomnotes': ['Tonka Bean', 'Sandalwood', 'Amber']}"
Mandarino di Sicilia,Acqua di Parma,4.34,317.0,0.26702,-0.31288,0.70769,0.2013,0.0,0.0,0.0,0.63591,0.82454,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Green Mandarin', 'Blood Orange', 'Bergamot'], 'midnotes': ['Spearmint', 'Petitgrain'], 'bottomnotes': ['Musk', 'Cedar', 'Patchouli']}"
Acqua di Parma Blu Mediterraneo - Cipresso di Toscana,Acqua di Parma,3.96,869.0,0.97935,-0.04301,0.73537,0.1117,0.22434,0.0,0.0,0.0,2.1818,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Sage', 'Basil', 'Rosemary', 'Grapefruit', 'Petitgrain'], 'midnotes': ['Jasmine', 'Lily-of-the-Valley', 'Pine Tree', 'Lavender', 'Coriander', 'Cardamom'], 'bottomnotes': ['Cedar', 'Cypress', 'Silver Pine', 'Patchouli', 'Oakmoss', 'Vetiver']}"
Quercia Eau de Parfum,Acqua di Parma,4.01,516.0,1.10976,-0.5,0.22266,0.18544,4.24608,0.0,0.60663,0.61913,0.4863,1.60851,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Petitgrain', 'Pink Pepper', 'Calabrian bergamot'], 'midnotes': ['Cedar', 'Cardamom', 'Geranium'], 'bottomnotes': ['Patchouli', 'Tonka Bean', 'Moss']}"
Bergamotto di Calabria La Spugnatura,Acqua di Parma,4.11,227.0,0.08397,-0.37273,0.75652,0.16502,0.0,0.0,0.0,0.63591,0.25615,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Bergamot'], 'midnotes': ['Grapefruit', 'Mandarin Orange', 'Orange'], 'bottomnotes': ['Geranium', 'Fennel']}"
Osmanthus Eau de Parfum,Acqua di Parma,3.86,647.0,-0.82712,-0.69198,0.6875,0.199,0.0,0.0,0.0,1.37598,0.0,1.05127,0.0,1.48443,0.0,0.0,0.0,"{'topnotes': ['Green Mandarin', 'Neroli'], 'midnotes': ['Peony', 'Pink Pepper', 'Ambrette (Musk Mallow)'], 'bottomnotes': ['Patchouli', 'Osmanthus']}"
Acqua di Parma Colonia Pura,Acqua di Parma,4.01,1304.0,0.70652,-0.12917,0.7719,0.18465,0.13746,0.0,0.0,2.78466,1.08457,0.0,0.0,2.49582,0.95276,0.0,0.0,"{'topnotes': ['Ozonic notes', 'Petitgrain', 'Bergamot', 'Orange'], 'midnotes': ['Jasmine Sambac', 'Coriander', 'Narcissus'], 'bottomnotes': ['White Musk', 'Cedar', 'Patchouli']}"
Chinotto di Liguria,Acqua di Parma,3.89,798.0,0.42857,-0.04181,0.73449,0.16782,0.13857,0.0,0.0,0.57377,0.4863,0.35343,0.0,0.85009,0.60961,0.0,0.0,"{'topnotes': ['Chinotto', 'Mandarin Orange'], 'midnotes': ['Jasmine', 'Rosemary', 'Geranium', 'Cardamom'], 'bottomnotes': ['Musk', 'Patchouli']}"
Ambra Eau de Parfum,Acqua di Parma,3.88,238.0,0.87121,-0.63303,-0.18868,0.24301,0.96537,1.08414,1.54463,0.43621,0.0,0.27818,0.0,0.82626,1.09038,0.0,0.0,"{'topnotes': ['Petitgrain', 'Calabrian bergamot', 'Orange'], 'midnotes': ['Rose', 'Cedar', 'Cypriol Oil or Nagarmotha', 'Patchouli'], 'bottomnotes': ['Labdanum', 'Ambergris', 'Musk', 'Vanilla', 'Sandalwood']}"
Colonia Il Profumo,Acqua di Parma,4.39,49.0,0.69697,-0.21739,0.63333,0.14384,0.88173,0.0,0.0,0.63591,0.30061,0.0,0.46267,0.0,0.0,0.0,0.0,"{'topnotes': ['Pineapple', 'Lemon', 'Bergamot', 'Petitgrain', 'Orange'], 'midnotes': ['Rose', 'Lavender', 'Verbena', 'Ylang-Ylang', 'Neroli'], 'bottomnotes': ['Vetiver', 'Cedar', 'Moss', 'Leather', 'Sandalwood', 'Patchouli']}"
Colonia Ambra,Acqua di Parma,4.08,605.0,0.87755,-0.24167,-0.08421,0.20696,0.0,1.58473,1.65667,3.99246,0.30015,0.0,0.0,0.0,1.62522,0.0,0.0,"{'topnotes': ['Musk', 'Ambergris', 'Sea Notes'], 'midnotes': [], 'bottomnotes': []}"
Colonia Leather Eau de Cologne Concentrée,Acqua di Parma,4.42,1526.0,1.4075,-0.26074,-0.15302,0.26237,0.19747,4.36837,0.0,0.40972,0.0,0.0,0.0,1.02263,0.0,0.0,0.0,"{'topnotes': ['Raspberry', 'Brazilian Orange', 'Sicilian Lemon'], 'midnotes': ['Rose', 'Red Thyme', 'Petitgrain Paraguay', 'Honeysuckle'], 'bottomnotes': ['Leather', 'Guaiac Wood', 'Atlas Cedar']}"
