Fragrance Name,Link
Khamrah,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html
Le Male Elixir,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html
Angels' Share,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html
Le Male Le Parfum,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html
XJ 1861 Naxos,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html
Emporio Armani Stronger With You Intensely,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html
By the Fireplace,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html
Le Beau Le Parfum,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html
Y Eau de Parfum,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html
Bianco Latte,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-64757.html
Dior Homme Intense 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html
Baccarat Rouge 540,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html
Tobacco Vanille,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html
9pm,https://www.fragrantica.com/perfume/Afnan/9pm-65414.html
Jazz Club,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html
Layton,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html
Eros,https://www.fragrantica.com/perfume/Versace/Eros-16657.html
Spicebomb Extreme,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html
Versace Pour Homme Dylan Blue,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html
Bleu de Chanel Eau de Parfum,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html
Club de Nuit Intense Man,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html
Aventus,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html
Sauvage,https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html
Sauvage Elixir,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html
Eros Flame,https://www.fragrantica.com/perfume/Versace/Eros-Flame-52180.html
Valentino Uomo Born In Roma Intense,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html
Althaïr,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html
Grand Soir,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html
Erba Pura,https://www.fragrantica.com/perfume/Xerjoff/Erba-Pura-55157.html
Asad,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html
Khamrah Qahwa,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html
Le Beau Paradise Garden,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Paradise-Garden-88836.html
Ultra Male,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html
The Most Wanted Parfum,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html
Lost Cherry,https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html
Imagination,https://www.fragrantica.com/perfume/Louis-Vuitton/Imagination-67370.html
Ombré Leather (2018),https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html
Versace Pour Homme,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-2318.html
Explorer,https://www.fragrantica.com/perfume/Montblanc/Explorer-52002.html
Gentleman Eau de Parfum Reserve Privée,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html
Nautica Voyage,https://www.fragrantica.com/perfume/Nautica/Nautica-Voyage-913.html
Terre d'Hermès,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html
Arabians Tonka,https://www.fragrantica.com/perfume/Montale/Arabians-Tonka-57384.html
Hawas for Him,https://www.fragrantica.com/perfume/Rasasi/Hawas-for-Him-46890.html
Acqua di Giò Profondo,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html
Vanilla 28,https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-28-52616.html
MYSLF Eau de Parfum,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/MYSLF-Eau-de-Parfum-84094.html
Bois Impérial,https://www.fragrantica.com/perfume/Essential-Parfums/Bois-Imperial-64338.html
The Most Wanted,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-66826.html
Cedrat Boise,https://www.fragrantica.com/perfume/Mancera/Cedrat-Boise-15211.html
Encre Noire,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html
Side Effect,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html
Instant Crush,https://www.fragrantica.com/perfume/Mancera/Instant-Crush-54885.html
Acqua di Gio,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html
