Fragrance Name,Brand Name,Link
Acqua di Parma Blu Mediterraneo - Fico di Amalfi,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Mandorlo-di-Sicilia-1688.html
Essenza di Colonia,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Essenza-di-Colonia-9829.html
Acqua di Parma Blu Mediterraneo Arancia di Capri,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html
Acqua di Parma Colonia,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html
Acqua di parma Blue Mediterraneo - Mirto di Panarea,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-parma-Blue-Mediterraneo-Mirto-di-Panarea-3108.html
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Bergamotto-di-Calabria-7826.html
Oud Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Oud-Eau-de-Parfum-55998.html
Mandarino di Sicilia,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Mandarino-di-Sicilia-92455.html
Colonia Intensa,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-1684.html
Acqua di Parma Colonia Pura,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Pura-45876.html
Colonia Club,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Club-31424.html
Acqua di Parma Blu Mediterraneo - Cipresso di Toscana,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Cipresso-di-Toscana-1686.html
Leather Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Leather-Eau-de-Parfum-55999.html
Colonia C.L.U.B.,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-C-L-U-B-72707.html
Sandalo Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Sandalo-Eau-de-Parfum-56002.html
Zafferano,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Zafferano-73365.html
Oud & Spice,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Oud-Spice-68516.html
Colonia Oud,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Oud-39468.html
Colonia Leather Eau de Cologne Concentrée,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Leather-Eau-de-Cologne-Concentree-25349.html
Colonia Futura,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Futura-62332.html
Osmanthus Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Osmanthus-Eau-de-Parfum-56006.html
Yuzu Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Yuzu-Eau-de-Parfum-56004.html
Quercia Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Quercia-Eau-de-Parfum-56001.html
Bergamotto di Calabria La Spugnatura,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Bergamotto-di-Calabria-La-Spugnatura-66175.html
Acqua di Parma Blu Mediterraneo - Arancia La Spugnatura,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html
Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Ginepro-di-Sardegna-23851.html
Vaniglia Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Vaniglia-Eau-de-Parfum-56003.html
Sakura Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Sakura-Eau-de-Parfum-56007.html
Chinotto di Liguria,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Chinotto-di-Liguria-48940.html
Colonia Intensa Oud Eau de Cologne Concentree,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-Oud-Eau-de-Cologne-Concentree-15519.html
Luce di Rosa,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Luce-di-Rosa-95859.html
Ambra Eau de Parfum,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Ambra-Eau-de-Parfum-56000.html
Colonia Ambra,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Ambra-30427.html
Acqua di Parma Colonia Assoluta,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-1682.html
Colonia Il Profumo,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Il-Profumo-100793.html
Lily of the Valley,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Lily-of-the-Valley-68638.html
Cedro di Taormina,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Cedro-di-Taormina-35398.html
Colonia Mirra,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Mirra-44015.html
Colonia Quercia,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Quercia-38674.html
Colonia Sandalo Concentrée,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Sandalo-Concentree-38166.html
Crystal Incense,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Crystal-Incense-92117.html
Mandarino Millesimato 2022,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Mandarino-Millesimato-2022-92459.html
Colonia Essenza Special Edition 2015,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Essenza-Special-Edition-2015-31663.html
Blue Mediterraneo Mirto di Panarea Limited Edition 2024,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Blue-Mediterraneo-Mirto-di-Panarea-Limited-Edition-2024-95862.html
Oud and Zagara,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Oud-and-Zagara-93634.html
Note di Colonia III,Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Note-di-Colonia-III-39626.html
